成交日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20200102,9:36:47,600683,京投发展,买入,4.98,336000,1673227
20200102,9:40:30,000789,万年青,卖出,12.391,139100,1723618
20200102,9:45:43,600235,民丰特纸,卖出,6.38,294800,1880824
20200102,10:06:41,603729,龙韵股份,买入,17.407,102900,1791127
20200103,9:33:54,603729,龙韵股份,卖出,16.226,51400,834009
20200103,9:34:21,603729,龙韵股份,卖出,16.187,25700,415998.52
20200103,9:34:35,603729,龙韵股份,卖出,16.2,25800,417960
20200103,9:44:24,600683,京投发展,卖出,4.702,67200,315958
20200103,9:44:32,600683,京投发展,卖出,4.7,67200,315840
20200103,9:44:40,600683,京投发展,卖出,4.709,67200,316427
20200103,9:44:47,600683,京投发展,卖出,4.703,67200,316015
20200103,9:44:58,600683,京投发展,卖出,4.692,67200,315319
20200103,9:52:06,600095,哈高科,买入,11.397,140300,1598988
20200103,13:52:59,002291,星期六,卖出,23.8,83000,1975400
20200106,9:32:53,600095,哈高科,卖出,10.357,140300,1453038
20200106,9:34:59,603109,神驰机电,买入,29.73,4900,145677
20200106,9:37:15,603109,神驰机电,买入,29.6,10000,296000
20200106,9:37:33,603109,神驰机电,买入,29.57,10000,295700
20200106,9:38:00,603109,神驰机电,买入,29.542,10000,295418.48
20200106,9:38:33,603109,神驰机电,买入,29.571,10000,295714.11
20200106,9:39:00,603109,神驰机电,买入,29.599,10000,295992
20200106,9:39:30,603109,神驰机电,买入,29.758,10000,297583.37
20200106,9:43:17,600330,天通股份,买入,8.476,189000,1602042
20200106,13:53:09,002762,金发拉比,买入,6.12,50000,306000
20200106,13:53:39,002762,金发拉比,买入,6.12,3600,22032
20200106,13:55:00,002762,金发拉比,买入,6.15,30000,184500
20200106,13:55:34,002762,金发拉比,买入,6.14,1200,7368
20200106,13:56:26,002762,金发拉比,买入,6.192,50000,309622.75
20200106,13:59:10,002762,金发拉比,买入,6.251,129900,811953
20200107,9:25:00,002762,金发拉比,买入,6.86,17000,116620
20200107,9:32:46,600330,天通股份,卖出,9.25,189000,1748250
20200107,10:11:13,002291,星期六,买入,23.105,28900,667748
20200107,10:13:08,002762,金发拉比,卖出,7.05,15000,105750
20200107,10:19:49,603109,神驰机电,卖出,29.504,12900,380597
20200107,10:20:30,603109,神驰机电,卖出,29.5,10400,306800
20200107,10:20:36,603109,神驰机电,卖出,29.5,3300,97350
20200107,10:21:03,603109,神驰机电,卖出,29.453,26916,792751.2
20200107,10:21:23,603109,神驰机电,卖出,29.424,11384,334962.92
20200107,10:42:35,002291,星期六,买入,22.797,15000,341949
20200107,13:15:29,002291,星期六,买入,23.892,25200,602074
20200107,13:48:01,600122,宏图高科,买入,3,624100,1872300
20200107,14:56:16,002762,金发拉比,卖出,7.05,249700,1760385
20200108,9:30:00,002762,金发拉比,卖出,6.263,17000,106478
20200108,9:39:32,600122,宏图高科,卖出,2.879,624100,1796992
20200108,10:35:36,300269,联建光电,买入,5.787,308400,1784802
20200108,14:02:30,601990,南京证券,买入,13.034,129100,1682641
20200109,9:25:00,300063,天龙集团,买入,4.75,341400,1621650
20200109,9:49:30,601990,南京证券,卖出,12.847,129100,1658601.45
20200109,9:53:40,300269,联建光电,卖出,5.911,308400,1822876
20200109,10:01:08,002160,常铝股份,买入,4.58,384700,1761926
20200109,11:22:30,002291,星期六,卖出,23.5,69100,1623881
20200109,13:48:09,002277,友阿股份,买入,3.626,506200,1835353
20200109,14:31:59,002277,友阿股份,买入,3.72,520500,1936260
20200109,14:51:31,600122,宏图高科,买入,2.88,600,1728
20200109,14:54:01,600122,宏图高科,买入,2.87,700,2009
20200110,9:30:27,600122,宏图高科,卖出,2.98,1300,3874
20200110,9:32:53,300063,天龙集团,卖出,5.31,341400,1812834
20200110,13:22:15,002160,常铝股份,卖出,4.217,384700,1622297
20200110,14:37:19,603598,引力传媒,买入,20.75,67700,1404775
20200110,14:38:42,603598,引力传媒,买入,20.8,8000,166400
20200110,14:39:54,603598,引力传媒,买入,20.76,7300,151548
20200113,9:38:47,002277,友阿股份,卖出,4.23,513300,2171384
20200113,9:41:36,600327,大东方,买入,4.46,435100,1940546
20200113,9:49:01,002277,友阿股份,卖出,4.51,513400,2315434
20200113,11:11:04,002291,星期六,买入,25.67,73400,1884179.79
20200113,13:26:04,603598,引力传媒,卖出,21.244,27600,586322
20200113,13:26:27,603598,引力传媒,卖出,21.16,11900,251804
20200113,13:26:46,603598,引力传媒,卖出,21.105,12300,259596
20200113,13:27:00,603598,引力传媒,卖出,21.08,13000,274040
20200113,13:27:11,603598,引力传媒,卖出,21.031,18200,382769
20200113,13:44:38,603721,中广天择,买入,33.66,55100,1854666
20200114,10:08:51,300391,康跃科技,买入,11.761,172600,2029964.86
20200114,14:16:16,603721,中广天择,卖出,31.276,18300,572353
20200114,14:16:24,603721,中广天择,卖出,30.796,18400,566651
20200114,14:16:59,603721,中广天择,卖出,30.72,18400,565252
20200114,14:45:56,002291,星期六,卖出,28.68,73400,2105112
20200115,9:33:52,300391,康跃科技,卖出,10.5,43100,452550
20200115,9:33:57,300391,康跃科技,卖出,10.5,43100,452550
20200115,9:34:05,300391,康跃科技,卖出,10.493,86400,906551
20200115,9:41:11,002969,嘉美包装,买入,12.299,144900,1782059
20200115,9:47:09,600327,大东方,卖出,4.667,435100,2030465
20200115,9:49:47,002969,嘉美包装,买入,12.304,10000,123035
20200115,14:34:28,603815,交建股份,买入,19.35,101700,1967895
20200115,14:25:27,000626,远大控股,买入,8.916,214400,1911627
20200116,9:32:46,000626,远大控股,卖出,10.25,214400,2197600
20200116,9:35:53,603815,交建股份,卖出,18.34,20300,372302
20200116,9:35:54,603815,交建股份,卖出,18.315,20300,371800
20200116,9:35:59,603815,交建股份,卖出,18.342,20300,372337
20200116,9:36:04,603815,交建股份,卖出,18.341,20400,374148
20200116,9:36:12,603815,交建股份,卖出,18.345,20400,374240
20200116,9:39:00,002969,嘉美包装,卖出,12.264,38700,474618.86
20200116,9:39:09,002969,嘉美包装,卖出,12.264,38700,474605
20200116,9:39:18,002969,嘉美包装,卖出,12.249,77500,949281.93
20200116,10:00:36,601816,N京沪,卖出,5.98,1000,5980
20200116,14:54:05,002878,元隆雅图,买入,43.897,20000,877945.7
20200116,14:54:30,002878,元隆雅图,买入,43.9,10900,478510
20200116,14:54:57,002878,元隆雅图,买入,44.01,15000,660150
20200117,9:42:14,002878,元隆雅图,卖出,42.721,22900,978315.7
20200117,9:42:24,002878,元隆雅图,卖出,42.686,11500,490890.8
20200117,9:44:45,002878,元隆雅图,卖出,42.049,11500,483567
20200117,9:49:10,002969,嘉美包装,买入,11.75,50000,587500
20200117,9:50:05,002969,嘉美包装,买入,11.749,50000,587477
20200117,9:50:49,002969,嘉美包装,买入,11.74,50000,587000
20200117,9:51:22,002969,嘉美包装,买入,11.73,18100,212313
20200117,13:49:41,000793,华闻集团,买入,3.469,544600,1889256
20200117,14:34:29,002291,星期六,买入,36.56,56300,2058328
20200120,9:30:50,000793,华闻集团,卖出,3.425,544600,1864956
20200120,9:33:35,002969,嘉美包装,卖出,12.56,168100,2111336
20200120,9:39:37,002291,星期六,买入,30.795,10000,307952
20200120,9:39:57,002291,星期六,买入,30.966,10000,309663
20200120,9:42:05,002291,星期六,买入,31.407,10000,314066
20200120,9:51:16,002291,星期六,买入,30.614,10000,306143
20200120,9:52:01,002291,星期六,买入,30.246,10000,302454.9
20200120,9:53:05,002291,星期六,买入,30.413,10000,304126.75
20200120,9:56:05,002291,星期六,买入,30.421,10000,304214
20200120,11:05:03,002291,星期六,卖出,32.362,10000,323619
20200120,13:35:03,603301,振德医疗,买入,24.15,87000,2101050
20200120,13:12:59,600527,江南高纤,买入,2.285,907300,2073578.5
20200121,9:33:31,603301,振德医疗,卖出,26.57,87000,2311590
20200121,9:40:23,002291,星期六,卖出,34.822,58100,2023180
20200121,10:38:36,002291,星期六,卖出,32.979,58200,1919355
20200121,14:53:00,002556,辉隆股份,买入,6.187,341300,2111557
20200122,9:30:00,300812,易天股份,买入,68.807,28600,1967866.39
20200122,10:06:24,002556,辉隆股份,卖出,6.059,341300,2068025.06
20200122,10:52:44,688026,N洁特,卖出,55.07,500,27535
20200122,13:00:50,600527,江南高纤,卖出,2.71,181400,491594
20200122,13:05:01,600527,江南高纤,卖出,2.73,50000,136500
20200122,13:05:28,600527,江南高纤,卖出,2.74,50000,137000
20200122,13:05:44,600527,江南高纤,卖出,2.73,50000,136500
20200122,13:06:20,600527,江南高纤,卖出,2.72,50000,136000
20200122,13:08:09,600527,江南高纤,卖出,2.73,50000,136500
20200122,13:07:37,600527,江南高纤,卖出,2.72,50000,136000
20200122,13:08:23,600527,江南高纤,卖出,2.71,50000,135500
20200122,13:09:33,600527,江南高纤,卖出,2.72,50000,136000
20200122,13:10:52,600527,江南高纤,卖出,2.72,50000,136000
20200122,13:12:16,600527,江南高纤,卖出,2.71,50000,135500
20200122,13:13:48,600527,江南高纤,卖出,2.7,225900,609930
20200122,13:51:27,002291,星期六,买入,28.81,10000,288100
20200122,13:53:39,002291,星期六,买入,28.86,1000,28860
20200122,13:54:03,002291,星期六,买入,28.87,1000,28870
20200122,13:54:19,002291,星期六,买入,28.84,10000,288400
20200122,13:55:48,002291,星期六,买入,28.88,10000,288800
20200122,14:03:30,002291,星期六,买入,29.05,4000,116200
20200122,14:11:04,002291,星期六,买入,28.998,30000,869948
20200122,14:12:20,002291,星期六,买入,29.09,2000,58180
20200122,14:12:44,002291,星期六,买入,29.1,2000,58200
20200123,9:30:36,300812,易天股份,卖出,72.709,28600,2079484.62
20200123,9:33:41,603301,振德医疗,买入,30.12,67700,2039124
20200123,10:48:50,002291,星期六,卖出,27.911,35000,976898
20200123,10:49:00,002291,星期六,卖出,27.896,35000,976358
