成交日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20200102,600683,京投发展,买入,4.98,336000,1673280.00
20200102,000789,万年青,卖出,12.39,139100,1723588.10
20200102,600235,民丰特纸,卖出,6.38,294800,1880824.00
20200102,603729,龙韵股份,买入,17.41,102900,1791180.30
20200103,603729,龙韵股份,卖出,16.21,102900,1667982.30
20200103,600683,京投发展,卖出,4.70,336000,1579603.20
20200103,600095,哈高科,买入,11.40,140300,1598999.10
20200103,002291,星期六,卖出,23.80,83000,1975400.00
20200106,600095,哈高科,卖出,10.36,140300,1453087.10
20200106,603109,神驰机电,买入,29.62,64900,1922077.00
20200106,600330,天通股份,买入,8.48,189000,1601964.00
20200106,002762,金发拉比,买入,6.20,264700,1641504.90
20200107,002762,金发拉比,买入,6.86,17000,116620.00
20200107,600330,天通股份,卖出,9.25,189000,1748250.00
20200107,002291,星期六,买入,23.33,69100,1611767.90
20200107,002762,金发拉比,卖出,7.05,264700,1866135.00
20200107,603109,神驰机电,卖出,29.47,64900,1912471.36
20200107,600122,宏图高科,买入,3.00,624100,1872300.00
20200108,002762,金发拉比,卖出,6.26,17000,106471.00
20200108,600122,宏图高科,卖出,2.88,624100,1796783.90
20200108,300269,联建光电,买入,5.79,308400,1784710.80
20200108,601990,南京证券,买入,13.03,129100,1682689.40
20200109,300063,天龙集团,买入,4.75,341400,1621650.00
20200109,601990,南京证券,卖出,12.85,129100,1658547.70
20200109,300269,联建光电,卖出,5.91,308400,1822952.40
20200109,002160,常铝股份,买入,4.58,384700,1761926.00
20200109,002291,星期六,卖出,23.50,69100,1623850.00
20200109,002277,友阿股份,买入,3.67,1026700,3771741.20
20200109,600122,宏图高科,买入,2.87,1300,3737.00
20200110,600122,宏图高科,卖出,2.98,1300,3874.00
20200110,300063,天龙集团,卖出,5.31,341400,1812834.00
20200110,002160,常铝股份,卖出,4.22,384700,1622279.90
20200110,603598,引力传媒,买入,20.76,83000,1722723.00
20200113,002277,友阿股份,卖出,4.37,1026700,4486693.00
20200113,600327,大东方,买入,4.46,435100,1940546.00
20200113,002291,星期六,买入,25.67,73400,1884178.00
20200113,603598,引力传媒,卖出,21.14,83000,1754534.10
20200113,603721,中广天择,买入,33.66,55100,1854666.00
20200114,300391,康跃科技,买入,11.76,172600,2029948.60
20200114,603721,中广天择,卖出,30.93,55100,1704245.20
20200114,002291,星期六,卖出,28.68,73400,2105112.00
20200115,300391,康跃科技,卖出,10.50,172600,1811695.20
20200115,002969,嘉美包装,买入,12.30,154900,1905165.10
20200115,600327,大东方,卖出,4.67,435100,2030611.70
20200115,603815,交建股份,买入,19.35,101700,1967895.00
20200115,000626,远大控股,买入,8.92,214400,1911590.40
20200116,000626,远大控股,卖出,10.25,214400,2197600.00
20200116,603815,交建股份,卖出,18.34,101700,1864833.50
20200116,002969,嘉美包装,卖出,12.26,154900,1898531.10
20200116,601816,N京沪,卖出,5.98,1000,5980.00
20200116,002878,元隆雅图,买入,43.93,45900,2016600.00
20200117,002878,元隆雅图,卖出,42.54,45900,1952763.40
20200117,002969,嘉美包装,买入,11.74,168100,1974263.00
20200117,000793,华闻集团,买入,3.47,544600,1889217.40
20200117,002291,星期六,买入,36.56,56300,2058328.00
20200120,000793,华闻集团,卖出,3.43,544600,1865255.00
20200120,002969,嘉美包装,卖出,12.56,168100,2111336.00
20200120,002291,星期六,买入,30.69,70000,2148620.00
20200120,002291,星期六,卖出,32.36,10000,323620.00
20200120,603301,振德医疗,买入,24.15,87000,2101050.00
20200120,600527,江南高纤,买入,2.29,907300,2073180.50
20200121,603301,振德医疗,卖出,26.57,87000,2311590.00
20200121,002291,星期六,卖出,33.90,116300,3942536.00
20200121,002556,辉隆股份,买入,6.19,341300,2111623.10
20200122,300812,易天股份,买入,68.81,28600,1967880.20
20200122,002556,辉隆股份,卖出,6.06,341300,2067936.70
20200122,688026,N洁特,卖出,55.07,500,27535.00
20200122,600527,江南高纤,卖出,2.71,907300,2463024.00
20200122,002291,星期六,买入,28.94,70000,2025550.00
20200123,300812,易天股份,卖出,72.71,28600,2079477.40
20200123,603301,振德医疗,买入,30.12,67700,2039124.00
20200123,002291,星期六,卖出,27.90,70000,1953245.00
20200203,002291,星期六,买入,26.03,82300,2142445.70
20200205,300074,华平股份,买入,4.72,484700,2287784.00
20200205,688039,当虹科技,买入,116.39,19665,2288737.82
20200205,002291,星期六,卖出,30.71,82300,2527485.10
20200205,000819,岳阳兴长,买入,8.65,291800,2524070.00
20200206,688039,当虹科技,卖出,120.20,19665,2363705.45
20200206,000819,岳阳兴长,卖出,9.03,291800,2636390.40
20200206,300074,华平股份,卖出,5.00,484700,2422530.60
20200206,002483,润邦股份,买入,4.60,524900,2413490.20
20200206,300055,万邦达,买入,6.22,401800,2499196.00
20200207,300055,万邦达,卖出,6.61,401800,2655390.36
20200207,300123,亚光科技,买入,13.46,191400,2576244.00
20200207,300520,科大国创,买入,22.68,113600,2576448.00
20200210,300520,科大国创,卖出,23.28,113600,2644465.20
20200210,300123,亚光科技,卖出,13.88,191400,2657422.50
20200210,603301,振德医疗,卖出,48.75,67700,3300104.20
20200210,002483,润邦股份,卖出,5.64,524900,2960436.00
20200210,002556,辉隆股份,买入,7.05,409400,2886270.00
20200210,002950,奥美医疗,买入,51.02,47000,2397940.00
20200211,002556,辉隆股份,卖出,6.84,409400,2798492.20
20200212,002950,奥美医疗,卖出,43.98,47000,2066959.70
20200212,600355,精伦电子,买入,3.38,814200,2751996.00
20200212,300658,延江股份,买入,19.48,142100,2768108.00
20200212,002757,南兴股份,买入,25.25,109600,2767400.00
20200213,002757,南兴股份,卖出,24.47,109600,2682029.00
20200213,600355,精伦电子,卖出,3.35,814200,2723720.62
20200214,300658,延江股份,卖出,19.86,142100,2821409.60
20200214,002291,星期六,买入,26.66,100000,2665875.00
20200218,002291,星期六,买入,29.81,91300,2721835.60
20200218,603011,合锻智能,买入,5.15,539400,2777910.00
20200219,002580,圣阳股份,买入,5.69,488500,2779565.00
20200219,603011,合锻智能,买入,5.57,200,1114.00
20200219,603011,合锻智能,卖出,5.67,539400,3058398.00
20200219,002291,星期六,卖出,28.05,191300,5366312.20
20200220,603011,合锻智能,卖出,6.24,200,1248.00
20200220,002580,圣阳股份,卖出,5.81,488500,2837651.70
20200220,002108,沧州明珠,买入,4.16,641900,2667736.40
20200220,300317,珈伟新能,买入,4.60,615500,2831300.00
20200220,300097,智云股份,买入,11.10,258400,2868240.00
20200221,002108,沧州明珠,卖出,4.04,641900,2596485.00
20200221,300317,珈伟新能,卖出,4.76,615500,2927658.90
20200221,600156,华升股份,买入,5.06,547600,2770856.00
20200221,300097,智云股份,卖出,11.42,258400,2950872.00
20200224,300686,智动力,买入,27.18,97100,2638983.80
20200224,002134,天津普林,买入,11.92,498200,5937617.00
20200225,600156,华升股份,卖出,6.13,547600,3356788.00
20200225,002134,天津普林,卖出,11.87,498200,5914320.00
20200225,300686,智动力,卖出,27.48,97100,2667936.90
20200225,603200,上海洗霸,买入,35.04,85000,2978400.00
