成交日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20200102,9:36:00,600683,京投发展,买入,4.98,336000,1673280.00
20200102,9:40:00,000789,万年青,卖出,12.39,139100,1723588.10
20200102,9:45:00,600235,民丰特纸,卖出,6.38,294800,1880824.00
20200102,10:06:00,603729,龙韵股份,买入,17.41,102900,1791180.30
20200103,9:33:00,603729,龙韵股份,卖出,16.23,51400,834016.40
20200103,9:34:00,603729,龙韵股份,卖出,16.19,51500,833965.90
20200103,9:44:00,600683,京投发展,卖出,4.70,336000,1579603.20
20200103,9:52:00,600095,哈高科,买入,11.40,140300,1598999.10
20200103,13:52:00,002291,星期六,卖出,23.80,83000,1975400.00
20200106,9:32:00,600095,哈高科,卖出,10.36,140300,1453087.10
20200106,9:34:00,603109,神驰机电,买入,29.73,4900,145677.00
20200106,9:37:00,603109,神驰机电,买入,29.59,20000,591700.00
20200106,9:38:00,603109,神驰机电,买入,29.56,20000,591130.00
20200106,9:39:00,603109,神驰机电,买入,29.68,20000,593570.00
20200106,9:43:00,600330,天通股份,买入,8.48,189000,1601964.00
20200106,13:53:00,002762,金发拉比,买入,6.12,53600,328032.00
20200106,13:55:00,002762,金发拉比,买入,6.15,31200,191868.00
20200106,13:56:00,002762,金发拉比,买入,6.19,50000,309600.00
20200106,13:59:00,002762,金发拉比,买入,6.25,129900,812004.90
20200107,9:25:00,002762,金发拉比,买入,6.86,17000,116620.00
20200107,9:32:00,600330,天通股份,卖出,9.25,189000,1748250.00
20200107,10:11:00,002291,星期六,买入,23.11,28900,667734.50
20200107,10:13:00,002762,金发拉比,卖出,7.05,15000,105750.00
20200107,10:19:00,603109,神驰机电,卖出,29.50,12900,380601.60
20200107,10:20:00,603109,神驰机电,卖出,29.50,13700,404150.00
20200107,10:21:00,603109,神驰机电,卖出,29.44,38300,1127719.76
20200107,10:42:00,002291,星期六,买入,22.80,15000,341955.00
20200107,13:15:00,002291,星期六,买入,23.89,25200,602078.40
20200107,13:48:00,600122,宏图高科,买入,3.00,624100,1872300.00
20200107,14:56:00,002762,金发拉比,卖出,7.05,249700,1760385.00
20200108,9:30:00,002762,金发拉比,卖出,6.26,17000,106471.00
20200108,9:39:00,600122,宏图高科,卖出,2.88,624100,1796783.90
20200108,10:35:00,300269,联建光电,买入,5.79,308400,1784710.80
20200108,14:02:00,601990,南京证券,买入,13.03,129100,1682689.40
20200109,9:25:00,300063,天龙集团,买入,4.75,341400,1621650.00
20200109,9:49:00,601990,南京证券,卖出,12.85,129100,1658547.70
20200109,9:53:00,300269,联建光电,卖出,5.91,308400,1822952.40
20200109,10:01:00,002160,常铝股份,买入,4.58,384700,1761926.00
20200109,11:22:00,002291,星期六,卖出,23.50,69100,1623850.00
20200109,13:48:00,002277,友阿股份,买入,3.63,506200,1835481.20
20200109,14:31:00,002277,友阿股份,买入,3.72,520500,1936260.00
20200109,14:51:00,600122,宏图高科,买入,2.88,600,1728.00
20200109,14:54:00,600122,宏图高科,买入,2.87,700,2009.00
20200110,9:30:00,600122,宏图高科,卖出,2.98,1300,3874.00
20200110,9:32:00,300063,天龙集团,卖出,5.31,341400,1812834.00
20200110,13:22:00,002160,常铝股份,卖出,4.22,384700,1622279.90
20200110,14:37:00,603598,引力传媒,买入,20.75,67700,1404775.00
20200110,14:38:00,603598,引力传媒,买入,20.80,8000,166400.00
20200110,14:39:00,603598,引力传媒,买入,20.76,7300,151548.00
20200113,9:38:00,002277,友阿股份,卖出,4.23,513300,2171259.00
20200113,9:41:00,600327,大东方,买入,4.46,435100,1940546.00
20200113,9:49:00,002277,友阿股份,卖出,4.51,513400,2315434.00
20200113,11:11:00,002291,星期六,买入,25.67,73400,1884178.00
20200113,13:26:00,603598,引力传媒,卖出,21.19,51800,1097729.90
20200113,13:27:00,603598,引力传媒,卖出,21.05,31200,656804.20
20200113,13:44:00,603721,中广天择,买入,33.66,55100,1854666.00
20200114,10:08:00,300391,康跃科技,买入,11.76,172600,2029948.60
20200114,14:16:00,603721,中广天择,卖出,30.93,55100,1704245.20
20200114,14:45:00,002291,星期六,卖出,28.68,73400,2105112.00
20200115,9:33:00,300391,康跃科技,卖出,10.50,86200,905100.00
20200115,9:34:00,300391,康跃科技,卖出,10.49,86400,906595.20
20200115,9:41:00,002969,嘉美包装,买入,12.30,144900,1782125.10
20200115,9:47:00,600327,大东方,卖出,4.67,435100,2030611.70
20200115,9:49:00,002969,嘉美包装,买入,12.30,10000,123040.00
20200115,14:34:00,603815,交建股份,买入,19.35,101700,1967895.00
20200115,14:25:00,000626,远大控股,买入,8.92,214400,1911590.40
20200116,9:32:00,000626,远大控股,卖出,10.25,214400,2197600.00
20200116,9:35:00,603815,交建股份,卖出,18.33,60900,1116439.10
20200116,9:36:00,603815,交建股份,卖出,18.34,40800,748394.40
20200116,9:39:00,002969,嘉美包装,卖出,12.26,154900,1898531.10
20200116,10:00:00,601816,N京沪,卖出,5.98,1000,5980.00
20200116,14:54:00,002878,元隆雅图,买入,43.93,45900,2016600.00
20200117,9:42:00,002878,元隆雅图,卖出,42.71,34400,1469199.90
20200117,9:44:00,002878,元隆雅图,卖出,42.05,11500,483563.50
20200117,9:49:00,002969,嘉美包装,买入,11.75,50000,587500.00
20200117,9:50:00,002969,嘉美包装,买入,11.74,100000,1174450.00
20200117,9:51:00,002969,嘉美包装,买入,11.73,18100,212313.00
20200117,13:49:00,000793,华闻集团,买入,3.47,544600,1889217.40
20200117,14:34:00,002291,星期六,买入,36.56,56300,2058328.00
20200120,9:30:00,000793,华闻集团,卖出,3.43,544600,1865255.00
20200120,9:33:00,002969,嘉美包装,卖出,12.56,168100,2111336.00
20200120,9:39:00,002291,星期六,买入,30.88,20000,617610.00
20200120,9:42:00,002291,星期六,买入,31.41,10000,314070.00
20200120,9:51:00,002291,星期六,买入,30.61,10000,306140.00
20200120,9:52:00,002291,星期六,买入,30.25,10000,302460.00
20200120,9:53:00,002291,星期六,买入,30.41,10000,304130.00
20200120,9:56:00,002291,星期六,买入,30.42,10000,304210.00
20200120,11:05:00,002291,星期六,卖出,32.36,10000,323620.00
20200120,13:35:00,603301,振德医疗,买入,24.15,87000,2101050.00
20200120,13:12:00,600527,江南高纤,买入,2.29,907300,2073180.50
20200121,9:33:00,603301,振德医疗,卖出,26.57,87000,2311590.00
20200121,9:40:00,002291,星期六,卖出,34.82,58100,2023158.20
20200121,10:38:00,002291,星期六,卖出,32.98,58200,1919377.80
20200121,14:53:00,002556,辉隆股份,买入,6.19,341300,2111623.10
