日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240105,10:30:00,301218,华是科技,买入,30.9827,12800,396578
20240110,,301314,科瑞思,卖出,41,-6200,254200
20240110,10:30:00,300966,共同药业,买入,23.3298,10200,237964
20240110,10:30:00,300966,共同药业,买入,23.29,10200,237558
20240111,10:30:00,001217,华尔泰,买入,15.95,24200,385990
20240111,10:30:00,831304,迪尔化工,买入,8.85,6461,57179.85
20240111,,300966,共同药业,卖出,22.2743,-6800,151465
20240111,,300966,共同药业,卖出,22.3025,-6800,151657
20240111,,300966,共同药业,卖出,22.32,-6800,151776
20240111,,603099,长白山,卖出,29.1807,-8300,242200
20240112,10:30:00,002952,亚世光电,买入,36.83,6700,246761
20240112,,831304,迪尔化工,卖出,8.12,-3230,26227.6
20240112,,831304,迪尔化工,卖出,8.12,-3231,26235.72
20240112,,001217,华尔泰,卖出,17.69,-24200,428098
20240115,10:30:00,603214,爱婴室,买入,17.5053,18600,325598
20240115,,002952,亚世光电,卖出,34.71,-6700,232557
20240116,10:30:00,002762,金发拉比,买入,9.47,43000,407210
20240116,,603214,爱婴室,卖出,16.82,-18600,312852
20240117,10:30:00,301012,扬电科技,买入,24.26,17800,431828
20240117,10:30:00,603530,神马电力,买入,20.42,20100,410442
20240117,10:30:00,301004,嘉益股份,买入,69.15,4400,304260
20240117,10:30:00,301004,嘉益股份,买入,69.2969,1600,110875
20240117,10:30:00,603530,神马电力,买入,20.46,1000,20460
20240117,,002762,金发拉比,卖出,9.58,-8000,76640
20240117,,002762,金发拉比,卖出,9.49,-35000,332150
20240118,,301012,扬电科技,卖出,22.58,-400,9032
20240118,,603530,神马电力,卖出,19.14,-1000,19140
20240118,,603530,神马电力,卖出,19.14,-1100,21054
20240118,,301004,嘉益股份,卖出,67.5,-400,27000
20240118,,301012,扬电科技,卖出,22.47,-4300,96621
20240118,,301004,嘉益股份,卖出,67.99,-1900,129181
20240118,,301004,嘉益股份,卖出,67.2919,-3700,248980
20240118,,301012,扬电科技,卖出,22.39,-13100,293309
20240118,,603530,神马电力,卖出,18.98,-19000,360620
20240119,10:30:00,001217,华尔泰,买入,16.84,21100,355324
20240119,10:30:00,301218,华是科技,买入,31.02,6700,207834
20240119,,301218,华是科技,卖出,29.69,-3100,92039
20240119,,301218,华是科技,卖出,29.8109,-3200,95395
20240119,,301218,华是科技,卖出,29.7846,-6500,193600
20240122,,301218,华是科技,卖出,29.02,-6700,194434
20240123,10:30:00,001217,华尔泰,买入,13.64,21000,286440
20240123,,001217,华尔泰,卖出,16.27,-2000,32540
20240124,10:30:00,000554,泰山石油,买入,5.9763,54200,323916
20240124,,001217,华尔泰,卖出,15.01,-40100,601901
20240125,10:30:00,000798,中水渔业,买入,9.04,32600,294704
20240125,,000554,泰山石油,卖出,5.92,-120800,715136
20240126,10:30:00,002791,坚朗五金,买入,39.93,7500,299475
20240126,10:30:00,603860,中公高科,买入,33.5718,8300,278646
20240126,,000798,中水渔业,卖出,8.9,-32600,290140
20240129,10:30:00,601186,中国铁建,买入,8.83,31500,278145
20240129,10:30:00,601186,中国铁建,买入,8.76,29300,256668
20240129,10:30:00,688648,中邮科技,买入,29.9619,8556,256353.71
20240129,,603860,中公高科,卖出,31.3725,-8300,260392
20240129,,002791,坚朗五金,卖出,38.5,-7500,288750
20240130,10:30:00,600679,上海凤凰,买入,12.33,20900,257697
20240130,10:30:00,600679,上海凤凰,买入,12.33,18700,230571
20240130,,600679,上海凤凰,卖出,13.69,-8300,113627
20240130,,688648,中邮科技,卖出,27.0218,-8556,231198.12
20240130,,600679,上海凤凰,卖出,14.1117,-19800,279412
20240130,,000151,中成股份,卖出,13.48,-31200,420576
20240130,,601186,中国铁建,卖出,8.93,-60800,542944
20240131,10:30:00,603860,中公高科,买入,32.59,1200,39108
20240201,,603860,中公高科,卖出,31,-1200,37200
20240202,10:30:00,001217,华尔泰,买入,10.5983,33900,359281
20240202,10:30:00,600679,上海凤凰,买入,9.22,38200,352204
20240202,,600679,上海凤凰,卖出,9.39,-39600,371844
20240205,,001217,华尔泰,卖出,9,-33900,305100
20240205,,600679,上海凤凰,卖出,8.49,-38200,324318
20240206,10:30:00,600560,金自天正,买入,13.52,18100,244712
20240206,10:30:00,600560,金自天正,买入,13.77,13800,190026
20240207,,600560,金自天正,卖出,13.2826,-15900,211194
20240207,,600560,金自天正,卖出,13.4,-16000,214400
20240219,10:30:00,300199,翰宇药业,买入,11.28,18700,210936
20240219,10:30:00,300255,常山药业,买入,9.87,10000,98700
20240220,10:30:00,300988,津荣天宇,买入,13.43,25400,341121
20240220,10:30:00,300199,翰宇药业,买入,11.41,25100,286391
20240220,10:30:00,301509,金凯生科,买入,62.99,3200,201568
20240220,10:30:00,300988,津荣天宇,买入,13.3645,8400,112262
20240220,,300255,常山药业,卖出,9.8671,-10000,98671
20240220,,300199,翰宇药业,卖出,12.3905,-18700,231703
20240221,10:30:00,603082,北自科技,买入,36.82,8000,294560
20240221,10:30:00,300578,会畅通讯,买入,13.35,22000,293700
20240221,10:30:00,300709,精研科技,买入,22.8,9700,221160
