日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240105,301218,华是科技,买入,30.98,12800,396578.56
20240110,301314,科瑞思,卖出,41.00,-6200,-254200.00
20240110,300966,共同药业,买入,23.31,20400,475521.96
20240111,001217,华尔泰,买入,15.95,24200,385990.00
20240111,831304,迪尔化工,买入,8.85,6461,57179.85
20240111,300966,共同药业,卖出,22.30,-20400,-454898.24
20240111,603099,长白山,卖出,29.18,-8300,-242199.81
20240112,002952,亚世光电,买入,36.83,6700,246761.00
20240112,831304,迪尔化工,卖出,8.12,-6461,-52463.32
20240112,001217,华尔泰,卖出,17.69,-24200,-428098.00
20240115,603214,爱婴室,买入,17.51,18600,325598.58
20240115,002952,亚世光电,卖出,34.71,-6700,-232557.00
20240116,002762,金发拉比,买入,9.47,43000,407210.00
20240116,603214,爱婴室,卖出,16.82,-18600,-312852.00
20240117,301012,扬电科技,买入,24.26,17800,431828.00
20240117,603530,神马电力,买入,20.42,21100,430902.00
20240117,301004,嘉益股份,买入,69.19,6000,415135.04
20240117,002762,金发拉比,卖出,9.51,-43000,-408790.00
20240118,301012,扬电科技,卖出,22.41,-17800,-398962.00
20240118,603530,神马电力,卖出,19.00,-21100,-400814.00
20240118,301004,嘉益股份,卖出,67.53,-6000,-405161.03
20240119,001217,华尔泰,买入,16.84,21100,355324.00
20240119,301218,华是科技,买入,31.02,6700,207834.00
20240119,301218,华是科技,卖出,29.77,-12800,-381033.78
20240122,301218,华是科技,卖出,29.02,-6700,-194434.00
20240123,001217,华尔泰,买入,13.64,21000,286440.00
20240123,001217,华尔泰,卖出,16.27,-2000,-32540.00
20240124,000554,泰山石油,买入,5.98,54200,323915.46
20240124,001217,华尔泰,卖出,15.01,-40100,-601901.00
20240125,000798,中水渔业,买入,9.04,32600,294704.00
20240125,000554,泰山石油,卖出,5.92,-120800,-715136.00
20240126,002791,坚朗五金,买入,39.93,7500,299475.00
20240126,603860,中公高科,买入,33.57,8300,278645.94
20240126,000798,中水渔业,卖出,8.90,-32600,-290140.00
20240129,601186,中国铁建,买入,8.80,60800,534813.00
20240129,688648,中邮科技,买入,29.96,8556,256354.02
20240129,603860,中公高科,卖出,31.37,-8300,-260391.75
20240129,002791,坚朗五金,卖出,38.50,-7500,-288750.00
20240130,600679,上海凤凰,买入,12.33,39600,488268.00
20240130,600679,上海凤凰,卖出,13.99,-28100,-393038.66
20240130,688648,中邮科技,卖出,27.02,-8556,-231198.52
20240130,000151,中成股份,卖出,13.48,-31200,-420576.00
20240130,601186,中国铁建,卖出,8.93,-60800,-542944.00
20240131,603860,中公高科,买入,32.59,1200,39108.00
20240201,603860,中公高科,卖出,31.00,-1200,-37200.00
20240202,001217,华尔泰,买入,10.60,33900,359282.37
20240202,600679,上海凤凰,买入,9.22,38200,352204.00
20240202,600679,上海凤凰,卖出,9.39,-39600,-371844.00
20240205,001217,华尔泰,卖出,9.00,-33900,-305100.00
20240205,600679,上海凤凰,卖出,8.49,-38200,-324318.00
20240206,600560,金自天正,买入,13.63,31900,434738.00
20240207,600560,金自天正,卖出,13.34,-31900,-425593.34
20240219,300199,翰宇药业,买入,11.28,18700,210936.00
20240219,300255,常山药业,买入,9.87,10000,98700.00
20240220,300988,津荣天宇,买入,13.41,33800,453383.80
20240220,300199,翰宇药业,买入,11.41,25100,286391.00
20240220,301509,金凯生科,买入,62.99,3200,201568.00
20240220,300255,常山药业,卖出,9.87,-10000,-98671.00
20240220,300199,翰宇药业,卖出,12.39,-18700,-231702.35
20240221,603082,北自科技,买入,36.82,8000,294560.00
20240221,300578,会畅通讯,买入,13.35,22000,293700.00
20240221,300709,精研科技,买入,22.97,15600,358388.10
20240221,300635,中达安,买入,9.79,9900,96921.00
20240221,300988,津荣天宇,卖出,13.86,-33800,-468312.68
20240221,301509,金凯生科,卖出,64.47,-3200,-206304.00
20240221,300199,翰宇药业,卖出,12.49,-25100,-313576.81
20240222,301299,卓创资讯,买入,41.55,13700,569171.74
20240222,300405,科隆股份,买入,4.66,75000,349500.00
20240222,603082,北自科技,卖出,33.73,-8000,-269808.16
20240222,300635,中达安,卖出,9.30,-9900,-92118.51
20240222,300578,会畅通讯,卖出,14.30,-22000,-314600.00
20240222,300709,精研科技,卖出,24.22,-15600,-377788.32
20240223,301396,宏景科技,买入,22.30,18700,417010.00
20240223,301299,卓创资讯,卖出,6.88,-13700,-94270.00
20240223,300405,科隆股份,卖出,5.16,-75000,-387000.00
20240226,301413,安培龙,买入,51.00,8000,408000.00
20240226,300374,中铁装配,买入,16.19,25000,404750.00
20240226,000151,中成股份,买入,10.62,36600,388692.00
20240226,600692,亚通股份,买入,5.88,56800,333984.00
20240226,301396,宏景科技,卖出,0.00,0,0.00
20240227,301413,安培龙,卖出,52.42,-8000,-419360.00
20240227,000151,中成股份,卖出,10.74,-36600,-393084.00
20240227,300374,中铁装配,卖出,16.96,-25000,-424000.00
20240228,600692,亚通股份,买入,5.94,118700,705078.00
20240228,000151,中成股份,买入,10.80,38300,413467.65
20240229,300985,致远新能,买入,31.59,12800,404389.12
20240229,002172,澳洋健康,买入,3.36,119800,402528.00
20240229,000151,中成股份,卖出,10.27,-38300,-393341.00
20240301,300766,每日互动,买入,13.99,29100,407094.45
20240301,300757,罗博特科,买入,301106.00,3600,1083981600.00
20240301,300260,新莱应材,买入,29.00,1468,42572.00
20240301,002172,澳洋健康,卖出,3.38,-119800,-404924.00
20240301,300985,致远新能,卖出,31.80,-12800,-407040.00
20240304,002654,万润科技,买入,11.80,47900,565220.00
20240304,002975,博杰股份,买入,34.98,11900,416273.00
20240304,300260,新莱应材,卖出,27.56,-1468,-40453.38
20240304,300757,罗博特科,卖出,112.99,-3600,-406765.02
20240304,300766,每日互动,卖出,15.33,-29100,-446103.00
20240304,600692,亚通股份,卖出,5.97,-175500,-1047735.00
20240305,300620,光库科技,买入,51.44,14100,725280.03
