成交日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20170424,9:32:02,300137,先河环保,证券买入,28.38,800,22709.68
20170424,10:01:35,300137,先河环保,证券买入,29.82,800,23861.96
20170425,9:25:00,300137,先河环保,证券卖出,28.2,1600,45063.6
20170425,10:05:13,300629,新劲刚,证券买入,55,400,22005.5
20170426,9:25:00,300629,新劲刚,证券卖出,56.5,400,22571.75
20170426,10:23:28,600874,创业环保,证券买入,14.74,1500,22115.97
20170427,9:51:53,000856,冀东装备,证券买入,34.25,700,23980.99
20170427,10:28:55,600874,创业环保,证券卖出,16.21,1500,24284.11
20170428,9:32:35,000923,河北宣工,证券买入,38.7,600,23225.81
20170428,10:19:48,000856,冀东装备,证券卖出,35.2,700,24609.2
20170502,9:41:14,000923,河北宣工,证券买入,40.2,600,24126.03
20170502,14:18:10,000923,河北宣工,证券卖出,42.337,600,25370.25
20170503,9:25:00,000923,河北宣工,证券卖出,40.8,600,24449.4
20170503,9:31:22,002858,力盛赛车,证券买入,77.7,300,23315.83
20170504,9:25:00,002858,力盛赛车,证券卖出,79,300,23670.37
20170505,9:31:12,002665,首航节能,证券买入,8.65,3000,25956.49
20170505,9:32:04,000856,冀东装备,证券买入,36.63,700,25647.41
20170508,9:25:00,002665,首航节能,证券卖出,7.86,3000,23550.52
20170508,9:33:23,600581,八一钢铁,证券买入,11.6,2100,24366.58
20170508,14:03:16,000856,冀东装备,证券卖出,38.816,700,27137.04
20170509,9:25:00,002350,北京科锐,证券买入,19.31,1400,27040.76
20170509,9:50:34,600581,八一钢铁,证券卖出,9.62,2100,20176.35
20170510,9:34:06,300344,太空板业,证券买入,18.48,1100,20333.08
20170511,11:26:56,300344,太空板业,证券卖出,17.389,1100,19103.87
20170512,10:37:27,300334,津膜科技,证券买入,28.14,600,16889
20170516,9:54:47,300334,津膜科技,证券卖出,36.87,600,22094.35
20170517,9:31:09,603787,新日股份,证券买入,29.31,800,23454.33
20170519,9:25:03,603787,新日股份,证券卖出,25.33,800,20238.26
20170522,9:30:09,002350,北京科锐,证券买入,28.07,700,19654
20170523,13:38:25,002350,北京科锐,证券卖出,29.28,2100,61411.14
20170523,13:51:20,300140,中环装备,证券买入,20.85,3000,62565.64
20170524,9:50:12,300140,中环装备,证券卖出,19.49,3000,58396.9
20170524,9:57:57,300140,中环装备,证券买入,19.49,1500,29242.31
20170524,9:58:26,300140,中环装备,证券买入,19.62,1500,29437.36
20170525,13:43:45,300140,中环装备,证券卖出,22.68,3000,67954.95
20170526,9:30:42,603505,金石资源,证券买入,24.167,2800,67685.28
20170531,10:25:15,603505,金石资源,证券卖出,26.37,2800,73742.22
20170531,14:53:26,300649,杭州园林,证券买入,59.86,600,35924.98
20170601,14:01:30,300649,杭州园林,证券卖出,61.6,600,36913.8
20170602,9:58:53,002837,英维克,证券买入,21.47,1700,36508.12
20170605,9:25:00,002837,英维克,证券卖出,22,1700,37353.25
20170606,9:31:02,603269,海鸥股份,证券买入,32.58,1100,35847.68
20170606,9:33:07,002494,华斯股份,证券买入,17.431,2200,38357.59
20170607,9:30:29,002494,华斯股份,证券卖出,17.123,2200,37622.91
20170607,9:37:03,603778,乾景园林,证券买入,30.81,1200,36981.98
20170608,14:40:38,603269,海鸥股份,证券卖出,40.481,1100,44472.45
20170609,9:25:02,603778,乾景园林,证券买入,14.43,3100,44745.07
20170609,9:54:05,603778,乾景园林,证券卖出,13.61,3000,40778.14
20170609,10:37:28,300041,回天新材,证券买入,15.46,2700,41752.44
20170612,10:12:38,603778,乾景园林,证券卖出,13.4,3100,41487.23
20170612,13:46:22,300041,回天新材,证券卖出,14.9,2700,40179.71
20170612,15:00:00,300407,凯发电气,证券买入,22.83,1600,36537.13
20170613,9:40:56,300407,凯发电气,证券买入,23.433,1900,44534.13
20170613,11:08:19,300407,凯发电气,证券卖出,24.374,1600,38949.25
20170614,9:25:00,300407,凯发电气,证券卖出,22.7,1900,43076.09
20170614,9:39:21,002835,同为股份,证券买入,20.13,4100,82553.63
20170615,13:34:11,002835,同为股份,证券卖出,21.171,4100,86692.49
20170619,9:30:43,300490,华自科技,证券买入,28.39,3000,85191.29
20170620,9:33:11,300490,华自科技,证券卖出,30.198,3000,90480.76
20170621,9:31:02,002822,中装建设,证券买入,14.58,6100,88960.23
20170622,9:32:02,002822,中装建设,证券卖出,14.72,6100,89679.75
20170623,9:33:57,002846,英联股份,证券买入,36.13,2500,90347.58
