成交日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20170424,300137,先河环保,证券买入,29.10,1600,46560.00
20170425,300137,先河环保,证券卖出,28.20,1600,45120.00
20170425,300629,新劲刚,证券买入,55.00,400,22000.00
20170426,300629,新劲刚,证券卖出,56.50,400,22600.00
20170426,600874,创业环保,证券买入,14.74,1500,22110.00
20170427,000856,冀东装备,证券买入,34.25,700,23975.00
20170427,600874,创业环保,证券卖出,16.21,1500,24315.00
20170428,000923,河北宣工,证券买入,38.70,600,23220.00
20170428,000856,冀东装备,证券卖出,35.20,700,24640.00
20170502,000923,河北宣工,证券买入,40.20,600,24120.00
20170502,000923,河北宣工,证券卖出,42.34,600,25402.20
20170503,000923,河北宣工,证券卖出,40.80,600,24480.00
20170503,002858,力盛赛车,证券买入,77.70,300,23310.00
20170504,002858,力盛赛车,证券卖出,79.00,300,23700.00
20170505,002665,首航节能,证券买入,8.65,3000,25950.00
20170505,000856,冀东装备,证券买入,36.63,700,25641.00
20170508,002665,首航节能,证券卖出,7.86,3000,23580.00
20170508,600581,八一钢铁,证券买入,11.60,2100,24360.00
20170508,000856,冀东装备,证券卖出,38.82,700,27171.20
20170509,002350,北京科锐,证券买入,19.31,1400,27034.00
20170509,600581,八一钢铁,证券卖出,9.62,2100,20202.00
20170510,300344,太空板业,证券买入,18.48,1100,20328.00
20170511,300344,太空板业,证券卖出,17.39,1100,19127.90
20170512,300334,津膜科技,证券买入,28.14,600,16884.00
20170516,300334,津膜科技,证券卖出,36.87,600,22122.00
20170517,603787,新日股份,证券买入,29.31,800,23448.00
20170519,603787,新日股份,证券卖出,25.33,800,20264.00
20170522,002350,北京科锐,证券买入,28.07,700,19649.00
20170523,002350,北京科锐,证券卖出,29.28,2100,61488.00
20170523,300140,中环装备,证券买入,20.85,3000,62550.00
20170524,300140,中环装备,证券卖出,19.49,3000,58470.00
20170524,300140,中环装备,证券买入,19.56,3000,58665.00
20170525,300140,中环装备,证券卖出,22.68,3000,68040.00
20170526,603505,金石资源,证券买入,24.17,2800,67667.60
20170531,603505,金石资源,证券卖出,26.37,2800,73836.00
20170531,300649,杭州园林,证券买入,59.86,600,35916.00
20170601,300649,杭州园林,证券卖出,61.60,600,36960.00
20170602,002837,英维克,证券买入,21.47,1700,36499.00
20170605,002837,英维克,证券卖出,22.00,1700,37400.00
20170606,603269,海鸥股份,证券买入,32.58,1100,35838.00
20170606,002494,华斯股份,证券买入,17.43,2200,38348.20
20170607,002494,华斯股份,证券卖出,17.12,2200,37670.60
20170607,603778,乾景园林,证券买入,30.81,1200,36972.00
20170608,603269,海鸥股份,证券卖出,40.48,1100,44529.10
20170609,603778,乾景园林,证券买入,14.43,3100,44733.00
20170609,603778,乾景园林,证券卖出,13.61,3000,40830.00
20170609,300041,回天新材,证券买入,15.46,2700,41742.00
20170612,603778,乾景园林,证券卖出,13.40,3100,41540.00
20170612,300041,回天新材,证券卖出,14.90,2700,40230.00
20170612,300407,凯发电气,证券买入,22.83,1600,36528.00
20170613,300407,凯发电气,证券买入,23.43,1900,44522.70
20170613,300407,凯发电气,证券卖出,24.37,1600,38998.40
20170614,300407,凯发电气,证券卖出,22.70,1900,43130.00
