成交日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
2025/12/17,9:30:00,002565,顺灏股份,买入,16.058,21300,342031
2025/12/17,9:30:00,002565,顺灏股份,买入,16.05,48200,773610
2025/12/17,11:21:47,002565,顺灏股份,卖出,15.74,43700,687838
2025/12/17,13:00:02,002565,顺灏股份,卖出,15.87,13000,206310
2025/12/17,13:04:09,300102,乾照光电,卖出,24.39,70600,1721934
2025/12/17,13:04:59,002565,顺灏股份,卖出,15.66,700,10962
2025/12/17,13:06:21,002565,顺灏股份,卖出,15.6,229300,3577080
2025/12/17,14:16:39,600345,长江通信,买入,30.519,55000,1678521
2025/12/17,14:43:09,003005,竞业达,买入,20.92,259500,5428740
2025/12/18,9:25:00,600345,长江通信,卖出,29,55000,1595000
2025/12/18,9:30:36,002536,飞龙股份,买入,29.988,107000,3208716
2025/12/18,10:15:23,003005,竞业达,卖出,20.56,48600,999216
2025/12/18,10:23:08,003005,竞业达,卖出,20.57,52700,1084048
2025/12/18,10:29:20,003005,竞业达,卖出,20.61,22100,455481
2025/12/18,10:30:54,003005,竞业达,卖出,20.58,8100,166698
2025/12/18,10:31:57,003005,竞业达,卖出,20.55,32000,657600
2025/12/18,10:33:39,003005,竞业达,卖出,20.57,96000,1974720
2025/12/18,10:38:56,601566,九牧王,买入,15.44,53500,826040
2025/12/18,10:39:05,601566,九牧王,买入,15.44,132900,2051976
2025/12/18,10:53:40,113593,沪工转债,买入,144.831,31120,4507140.72
2025/12/18,11:00:44,113593,沪工转债,卖出,145.141,31120,4516789
2025/12/18,11:28:39,601399,国机重装,买入,5.35,844300,4517005
2025/12/19,9:32:16,601399,国机重装,卖出,5.74,844300,4846282
2025/12/19,9:43:21,300446,航天智造,买入,27.08,44700,1210476
2025/12/19,9:53:25,002565,顺灏股份,卖出,16.79,69500,1166905
2025/12/19,10:05:10,002536,飞龙股份,买入,28.7,22400,642880
2025/12/19,10:33:11,127042,嘉美转债,买入,208.185,11520,2398290.780
2025/12/19,10:44:53,002536,飞龙股份,卖出,28.89,22400,647136
2025/12/19,10:46:03,000547,航天发展,买入,21.86,109800,2400220
2025/12/19,11:08:39,127042,嘉美转债,卖出,213.031,5760,1227058.56
2025/12/19,11:09:59,127042,嘉美转债,卖出,213.012,5760,1226949.12
2025/12/19,14:36:07,127042,嘉美转债,买入,220.459,11120,2451504.08
2025/12/22,9:30:21,601566,九牧王,卖出,18.2,186400,3392480
2025/12/22,9:40:45,300446,航天智造,卖出,24.71,44700,1104537
2025/12/22,9:40:57,127042,嘉美转债,卖出,230.607,11120,2564345.56
2025/12/22,9:48:06,000572,海马汽车,买入,9.12,193900,1768337
2025/12/22,10:03:40,002536,飞龙股份,卖出,30.15,107000,3226068
2025/12/22,10:24:51,000753,漳州发展,买入,8.54,147000,1255380
2025/12/22,11:16:03,000547,航天发展,买入,22.76,66600,1515816
2025/12/22,13:40:24,002792,通宇通讯,买入,33.42,28100,939102
2025/12/22,14:41:27,000547,航天发展,买入,22.57,31300,706441
2025/12/22,15:00:00,000547,航天发展,卖出,22.85,99800,2280430
2025/12/23,9:30:29,000572,海马汽车,卖出,9.526,193900,1847175
2025/12/23,9:36:23,002228,合兴包装,买入,5.41,182500,987325
2025/12/23,9:38:01,000753,漳州发展,卖出,8.251,147000,1212900
2025/12/23,10:09:51,002792,通宇通讯,卖出,34.3,7300,250390
2025/12/23,10:10:01,002792,通宇通讯,卖出,34.15,20800,710326
2025/12/23,10:18:55,000547,航天发展,卖出,22.24,107900,2399725.56
2025/12/23,10:40:56,000592,平潭发展,买入,13.2,103800,1370160
2025/12/24,9:30:05,001208,华菱线缆,买入,19.6,82400,1615040
2025/12/24,9:35:50,113657,再22转债,买入,272.585,8860,2415105.48
2025/12/24,9:41:57,113657,再22转债,卖出,278.803,8860,2470194.58
2025/12/24,9:57:12,000592,平潭发展,买入,12.98,66000,856680
2025/12/24,11:09:48,113657,再22转债,买入,293.777,5550,1630459.77
2025/12/24,11:13:36,113657,再22转债,卖出,292.764,5550,1624842.37
2025/12/24,13:00:00,300803,指南针,买入,131.267,16000,2100265.5
2025/12/24,14:19:11,000592,平潭发展,买入,13.32,24600,327672
2025/12/24,14:29:39,000592,平潭发展,买入,13.31,18500,246235
2025/12/24,14:30:18,000592,平潭发展,买入,13.27,13900,184453
