成交日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
2025/12/17,002565,顺灏股份,买入,16.05,69500,1115645.40
2025/12/17,002565,顺灏股份,卖出,15.63,286700,4482190.00
2025/12/17,300102,乾照光电,卖出,24.39,70600,1721934.00
2025/12/17,600345,长江通信,买入,30.52,55000,1678545.00
2025/12/17,003005,竞业达,买入,20.92,259500,5428740.00
2025/12/18,600345,长江通信,卖出,29.00,55000,1595000.00
2025/12/18,002536,飞龙股份,买入,29.99,107000,3208716.00
2025/12/18,003005,竞业达,卖出,20.57,259500,5337754.00
2025/12/18,601566,九牧王,买入,15.44,186400,2878016.00
2025/12/18,113593,沪工转债,买入,144.83,31120,4507140.72
2025/12/18,113593,沪工转债,卖出,145.14,31120,4516787.92
2025/12/18,601399,国机重装,买入,5.35,844300,4517005.00
2025/12/19,601399,国机重装,卖出,5.74,844300,4846282.00
2025/12/19,300446,航天智造,买入,27.08,44700,1210476.00
2025/12/19,002565,顺灏股份,卖出,16.79,69500,1166905.00
2025/12/19,002536,飞龙股份,买入,28.70,22400,642880.00
2025/12/19,127042,嘉美转债,买入,214.21,22640,4849795.28
2025/12/19,002536,飞龙股份,卖出,28.89,22400,647136.00
2025/12/19,000547,航天发展,买入,21.86,109800,2400228.00
2025/12/19,127042,嘉美转债,卖出,213.02,11520,2454007.68
2025/12/22,601566,九牧王,卖出,18.20,186400,3392480.00
2025/12/22,300446,航天智造,卖出,24.71,44700,1104537.00
2025/12/22,127042,嘉美转债,卖出,230.61,11120,2564349.84
2025/12/22,000572,海马汽车,买入,9.12,193900,1768368.00
2025/12/22,002536,飞龙股份,卖出,30.15,107000,3226050.00
2025/12/22,000753,漳州发展,买入,8.54,147000,1255380.00
2025/12/22,000547,航天发展,买入,22.70,97900,2222257.00
2025/12/22,002792,通宇通讯,买入,33.42,28100,939102.00
2025/12/22,000547,航天发展,卖出,22.85,99800,2280430.00
2025/12/23,000572,海马汽车,卖出,9.53,193900,1847091.40
2025/12/23,002228,合兴包装,买入,5.41,182500,987325.00
2025/12/23,000753,漳州发展,卖出,8.25,147000,1212897.00
2025/12/23,002792,通宇通讯,卖出,34.19,28100,960710.00
2025/12/23,000547,航天发展,卖出,22.24,107900,2399696.00
2025/12/23,000592,平潭发展,买入,13.20,103800,1370160.00
2025/12/24,001208,华菱线缆,买入,19.60,82400,1615040.00
2025/12/24,113657,再22转债,买入,280.75,14410,4045565.45
2025/12/24,113657,再22转债,卖出,284.18,14410,4095034.78
2025/12/24,000592,平潭发展,买入,13.12,164200,2153936.00
2025/12/24,300803,指南针,买入,131.27,16000,2100272.00
2025/12/25,300803,指南针,卖出,133.00,16000,2128000.00
2025/12/25,001208,华菱线缆,卖出,21.53,82400,1774154.40
2025/12/25,000551,创元科技,买入,16.68,54100,902388.00
2025/12/25,002583,海能达,买入,11.37,238100,2706958.90
2025/12/25,000547,航天发展,买入,25.60,228700,5854720.00
2025/12/25,603696,安记食品,买入,26.50,31100,824150.00
2025/12/26,002583,海能达,卖出,11.68,238100,2781008.00
2025/12/26,000551,创元科技,卖出,17.00,54100,919814.00
2025/12/26,002228,合兴包装,卖出,6.31,182500,1150695.00
2025/12/26,002535,林州重机,买入,4.21,148700,626027.00
2025/12/26,002163,海南发展,买入,22.75,27500,625625.00
2025/12/26,603696,安记食品,卖出,27.10,31100,842960.00
2025/12/26,600879,航天电子,买入,19.47,20200,393294.00
2025/12/26,002788,鹭燕医药,买入,21.00,19700,413700.00
2025/12/29,002535,林州重机,卖出,3.98,148700,591826.00
2025/12/29,600879,航天电子,卖出,19.05,20200,384810.00
2025/12/29,000547,航天发展,卖出,30.10,228700,6883870.00
2025/12/29,000592,平潭发展,卖出,15.25,268000,4087000.00
2025/12/29,002788,鹭燕医药,买入,21.63,123200,2664485.60
2025/12/29,002163,海南发展,卖出,24.57,27500,675658.00
2025/12/29,600343,航天动力,买入,44.38,22200,985236.00
2025/12/29,300337,银邦股份,买入,15.92,75000,1193850.00
2025/12/30,300337,银邦股份,卖出,15.30,75000,1147500.00
2025/12/30,300136,信维通信,买入,54.60,72700,3969347.30
2025/12/30,002682,龙洲股份,买入,10.53,203300,2140749.00
2025/12/30,600343,航天动力,买入,46.57,77500,3609260.50
2025/12/30,300102,乾照光电,买入,25.88,55200,1428631.20
2025/12/31,002682,龙洲股份,卖出,8.96,203300,1821568.00
2025/12/31,300102,乾照光电,卖出,26.70,55200,1473840.00
2025/12/31,600498,烽火通信,买入,32.08,56800,1822144.00
2025/12/31,300136,信维通信,卖出,57.14,72700,4154150.70
2025/12/31,002788,鹭燕医药,卖出,21.18,142900,3026622.00
2025/12/31,603123,翠微股份,买入,16.99,61600,1046707.20
2025/12/31,600343,航天动力,卖出,48.99,99700,4884402.70
2025/12/31,300136,信维通信,买入,60.23,272400,16406319.60
2026/1/5,603123,翠微股份,卖出,15.90,61600,979440.00
2026/1/5,600498,烽火通信,卖出,33.18,56800,1884624.00
2026/1/5,300136,信维通信,卖出,65.08,272400,17727558.38
2026/1/5,002083,孚日股份,买入,13.09,143800,1882342.00
2026/1/5,300003,乐普医疗,买入,18.97,75000,1422750.00
2026/1/5,300459,汤姆猫,买入,5.50,300000,1650000.00
2026/1/6,300459,汤姆猫,卖出,5.29,300000,1587000.00
2026/1/6,300003,乐普医疗,卖出,19.81,75000,1485750.00
2026/1/6,002083,孚日股份,卖出,13.66,143800,1964308.00
2026/1/6,300058,蓝色光标,买入,13.85,985040,13644980.00
2026/1/6,300409,道氏技术,买入,31.14,100000,3113700.00
2026/1/6,600734,实达集团,买入,4.68,1000000,4680000.00
2026/1/6,000917,电广传媒,买入,11.36,278600,3164896.00
2026/1/7,300409,道氏技术,卖出,32.92,100000,3291700.00
2026/1/7,300058,蓝色光标,卖出,14.72,985040,14496840.80
2026/1/7,601611,中国核建,买入,15.15,217300,3291225.80
2026/1/7,600734,实达集团,卖出,4.62,1000000,4620000.00
2026/1/7,000917,电广传媒,卖出,11.65,278600,3245690.00
2026/1/7,603516,淳中科技,买入,252.62,13400,3385108.00
2026/1/7,300136,信维通信,买入,66.76,282938,18889373.32
2026/1/8,601611,中国核建,卖出,16.35,217300,3552855.00
2026/1/8,300986,志特新材,买入,23.18,153200,3551176.00
2026/1/8,603516,淳中科技,卖出,243.00,13400,3256200.00
2026/1/8,300136,信维通信,卖出,73.22,282938,20717456.26
2026/1/8,600410,华胜天成,买入,19.63,167900,3295877.00
2026/1/8,002031,巨轮智能,买入,8.54,250000,2135000.00
2026/1/9,002031,巨轮智能,卖出,8.07,200000,1614000.00
2026/1/9,600637,东方明珠,买入,13.30,791500,10529300.00
2026/1/9,002131,利欧股份,买入,7.46,1000000,7460000.00
2026/1/9,300986,志特新材,买入,27.82,78900,2194998.00
2026/1/9,002471,中超控股,买入,8.65,48800,422120.00
2026/1/9,600410,华胜天成,卖出,20.81,167900,3493999.00
2026/1/9,002565,顺灏股份,买入,21.42,9100,194922.00
2026/1/12,002565,顺灏股份,卖出,22.70,9100,206570.00
2026/1/12,300045,华力创通,买入,36.38,5600,203722.40
2026/1/13,002471,中超控股,卖出,9.40,48800,458720.00
2026/1/13,300045,华力创通,卖出,36.18,5600,202608.00
2026/1/13,002465,海格通信,买入,24.15,361400,8728177.00
2026/1/13,600637,东方明珠,卖出,15.13,791500,11975395.00
2026/1/14,002465,海格通信,卖出,26.62,361400,9620468.00
2026/1/14,002465,海格通信,买入,26.62,222900,5933598.00
2026/1/15,300136,信维通信,买入,77.06,72700,5602189.30
