成交日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
2025/12/17,9:30:00,002565,顺灏股份,买入,16.05,69500,1115645.40
2025/12/17,11:21:00,002565,顺灏股份,卖出,15.74,43700,687838.00
2025/12/17,13:00:00,002565,顺灏股份,卖出,15.87,13000,206310.00
2025/12/17,13:04:00,300102,乾照光电,卖出,24.39,70600,1721934.00
2025/12/17,13:04:00,002565,顺灏股份,卖出,15.66,700,10962.00
2025/12/17,13:06:00,002565,顺灏股份,卖出,15.60,229300,3577080.00
2025/12/17,14:16:00,600345,长江通信,买入,30.52,55000,1678545.00
2025/12/17,14:43:00,003005,竞业达,买入,20.92,259500,5428740.00
2025/12/18,9:25:00,600345,长江通信,卖出,29.00,55000,1595000.00
2025/12/18,9:30:00,002536,飞龙股份,买入,29.99,107000,3208716.00
2025/12/18,10:15:00,003005,竞业达,卖出,20.56,48600,999216.00
2025/12/18,10:23:00,003005,竞业达,卖出,20.57,52700,1084039.00
2025/12/18,10:29:00,003005,竞业达,卖出,20.61,22100,455481.00
2025/12/18,10:30:00,003005,竞业达,卖出,20.58,8100,166698.00
2025/12/18,10:31:00,003005,竞业达,卖出,20.55,32000,657600.00
2025/12/18,10:33:00,003005,竞业达,卖出,20.57,96000,1974720.00
2025/12/18,10:38:00,601566,九牧王,买入,15.44,53500,826040.00
2025/12/18,10:39:00,601566,九牧王,买入,15.44,132900,2051976.00
2025/12/18,10:53:00,113593,沪工转债,买入,144.83,31120,4507140.72
2025/12/18,11:00:00,113593,沪工转债,卖出,145.14,31120,4516787.92
2025/12/18,11:28:00,601399,国机重装,买入,5.35,844300,4517005.00
2025/12/19,9:32:00,601399,国机重装,卖出,5.74,844300,4846282.00
2025/12/19,9:43:00,300446,航天智造,买入,27.08,44700,1210476.00
2025/12/19,9:53:00,002565,顺灏股份,卖出,16.79,69500,1166905.00
2025/12/19,10:05:00,002536,飞龙股份,买入,28.70,22400,642880.00
2025/12/19,10:33:00,127042,嘉美转债,买入,208.19,11520,2398291.20
2025/12/19,10:44:00,002536,飞龙股份,卖出,28.89,22400,647136.00
2025/12/19,10:46:00,000547,航天发展,买入,21.86,109800,2400228.00
2025/12/19,11:08:00,127042,嘉美转债,卖出,213.03,5760,1227058.56
2025/12/19,11:09:00,127042,嘉美转债,卖出,213.01,5760,1226949.12
2025/12/19,14:36:00,127042,嘉美转债,买入,220.46,11120,2451504.08
2025/12/22,9:30:00,601566,九牧王,卖出,18.20,186400,3392480.00
2025/12/22,9:40:00,300446,航天智造,卖出,24.71,44700,1104537.00
2025/12/22,9:40:00,127042,嘉美转债,卖出,230.61,11120,2564349.84
2025/12/22,9:48:00,000572,海马汽车,买入,9.12,193900,1768368.00
2025/12/22,10:03:00,002536,飞龙股份,卖出,30.15,107000,3226050.00
2025/12/22,10:24:00,000753,漳州发展,买入,8.54,147000,1255380.00
2025/12/22,11:16:00,000547,航天发展,买入,22.76,66600,1515816.00
2025/12/22,13:40:00,002792,通宇通讯,买入,33.42,28100,939102.00
2025/12/22,14:41:00,000547,航天发展,买入,22.57,31300,706441.00
2025/12/22,15:00:00,000547,航天发展,卖出,22.85,99800,2280430.00
2025/12/23,9:30:00,000572,海马汽车,卖出,9.53,193900,1847091.40
2025/12/23,9:36:00,002228,合兴包装,买入,5.41,182500,987325.00
2025/12/23,9:38:00,000753,漳州发展,卖出,8.25,147000,1212897.00
2025/12/23,10:09:00,002792,通宇通讯,卖出,34.30,7300,250390.00
2025/12/23,10:10:00,002792,通宇通讯,卖出,34.15,20800,710320.00
2025/12/23,10:18:00,000547,航天发展,卖出,22.24,107900,2399696.00
2025/12/23,10:40:00,000592,平潭发展,买入,13.20,103800,1370160.00
2025/12/24,9:30:00,001208,华菱线缆,买入,19.60,82400,1615040.00
2025/12/24,9:35:00,113657,再22转债,买入,272.58,8860,2415103.10
2025/12/24,9:41:00,113657,再22转债,卖出,278.80,8860,2470194.58
2025/12/24,9:57:00,000592,平潭发展,买入,12.98,66000,856680.00
2025/12/24,11:09:00,113657,再22转债,买入,293.78,5550,1630462.35
2025/12/24,11:13:00,113657,再22转债,卖出,292.76,5550,1624840.20
2025/12/24,13:00:00,300803,指南针,买入,131.27,16000,2100272.00
2025/12/24,14:19:00,000592,平潭发展,买入,13.32,24600,327672.00
2025/12/24,14:29:00,000592,平潭发展,买入,13.31,18500,246235.00
2025/12/24,14:30:00,000592,平潭发展,买入,13.27,13900,184453.00
2025/12/24,14:31:00,000592,平潭发展,买入,13.08,41200,538896.00
2025/12/25,9:25:00,300803,指南针,卖出,133.00,16000,2128000.00
2025/12/25,10:04:00,001208,华菱线缆,卖出,21.53,82400,1774154.40
2025/12/25,13:13:00,000551,创元科技,买入,16.68,54100,902388.00
2025/12/25,13:14:00,002583,海能达,买入,11.37,238100,2706958.90
2025/12/25,14:56:00,000547,航天发展,买入,25.60,130700,3345920.00
2025/12/25,15:00:00,000547,航天发展,买入,25.60,98000,2508800.00
2025/12/25,15:00:00,603696,安记食品,买入,26.50,31100,824150.00
2025/12/26,9:25:00,002583,海能达,卖出,11.68,238100,2781008.00
2025/12/26,9:31:00,000551,创元科技,卖出,17.00,54100,919814.00
2025/12/26,9:38:00,002228,合兴包装,卖出,6.31,182500,1150695.00
